question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
"The word ""Random"" in probability theorem refers:",,Mathematic,Probability,Random theory,1,Easy,unknown out of unknown,,unknown out of known,,known out of unknown,,known out of known,,2
Which of the following is a random experiment?,,Mathematics,Probability,Random theory,1,Easy,getting 52 Sundays in a year,,examining colors of rainbow,,immersing red litmus paper in basic solution,,measuring the lengths of segments in the set of line segments,,2
Let S denote the sample space of an experiment in which two coins are flipped. Then total number of events in S,,Mathematics,Probability,Sample space,1,Easy,4,,6,,8,,16,,3
"If P(E) denote the probability of an event in sample space 'S', then",,Mathematics,Probability,Basic concept,1,Easy,-1 < P(E) < 1,,-1 ≤ P(E) ≤ 1,,0 ≤ P(E) ≤ 1,,0 < P(E) < 1,,3
"If the events E₁ and E₂ are such that E₁ ∩ E₂ = ϕ, then the events are",,Mathematics,Probability,Events,1,Medium,mutually exclusive,,independent,,exhaustive,,equally likely,,1
A number x is chosen from the set 1 ≤ x ≤ 50. The probability that either it is a multiple of 4 or 7 is,,Mathematics,Probability,Probability,2,Medium,12/25,,9/25,,7/25,,6/25,,2
"A box contains 8 tickets bearing the numbers 1, 2, 3, 4, 5, 6, 8, 10. One ticket is drawn at random and is kept aside. If the second ticket is drawn, the probability that both show even numbers is",,Mathematics,Probability,Conditional Probability,2,Hard,5/56,,28/56,,5/14,,9/56,,3
"Let X = {-1, 0, 1} be a random variable with P(X = -1) = 0.24, P(X = 0) = 0.48, P(X = 1) = 0.28. Then mean of the distribution is",,Mathematics,Probability,Random Variable,2,Medium,-0.04,,0.08,,1,,0.04,,4
Three unbiased coins are tossed. The probability of getting 2 tails is,,Mathematics,Probability,Coin Toss,1,Medium,1/4,,3/8,,1/8,,5/8,,2
"A coin is tossed. If head comes up, a die is thrown but if tail comes up, the coin is tossed again. The probability of getting a head and even number is",,Mathematics,Probability,Compound Events,2,Medium,1/8,,2/8,,3/8,,5/8,,3
An urn contains 3 red and 4 white balls. Two balls are drawn at random. The probability that they are of different colors is,,Mathematics,Probability,Drawing Balls,2,Medium,3/7,,4/7,,5/7,,6/7,,2
"In a class of 100 students, 60 drink tea, 50 drink coffee and 30 drink both. A student is selected at random. The probability that the selected student takes at least one of two drinks is",,Mathematics,Probability,Venn Diagram Concept,2,Medium,2/5,,3/5,,1/5,,4/5,,4
"A and B are the events such that probability of occurrence of A is 0.42, probability of their simultaneous occurrence is 0.16. If the probability that either A or B occur is 0.74, then the probability of occurrence of B is",,Mathematics,Probability,Set Theory,2,Medium,0.32,,0.40,,0.45,,0.48,,4
"A problem is given to three students A, B, C whose chances of solving it are 1/4, 1/5, 1/6 respectively. If they all try, the probability that the problem will be solved is",,Mathematics,Probability,Total Probability,2,Medium,1/2,,1/4,,2/3,,3/4,,1
"If P(A) = 0.3, P(A∪B) = 0.6 and A, B are independent events, then P(B) is",,Mathematics,Probability,Independent Events,2,Medium,2/7,,4/7,,5/7,,3/7,,2
The probability that the month of February in a leap year may contain 5 Mondays is,,Mathematics,Probability,Calendar-based Probability,1,Medium,1/7,,2/7,,3/7,,4/7,,1
A committee of 4 is to be formed from 6 gentlemen and 4 ladies. The probability that the committee will consist of equal number of opposite genders is,,Mathematics,Probability,Permutation & Combination,2,Hard,6/7,,5/7,,4/7,,3/7,,4
"A group of students consists of 4 boys and 3 girls. If they are to be arranged for a photograph, then the probability that boys and girls are alternate is",,Mathematics,Probability,Permutation,2,Medium,7/35,,4/35,,1/35,,3/35,,3
Two fair dice are tossed together. The probability of getting odd numbers in both the dice is,,Mathematics,Probability,Dice Probability,1,Easy,1/3,,1/2,,1/4,,5/8,,3
The odds in favor of an event E are 5:3. Then probability of the event E is,,Mathematics,Probability,Odds & Probability,1,Easy,2/5,,5/7,,5/8,,3/8,,3
The odds in favor of an event A are 2:3 and odds against an event B are 3:2. The probability of occurrence of A or B is 0.6. Then probability of their simultaneous occurrence is,,Mathematics,Probability,Compound Events,2,Medium,0.5,,0.4,,0.3,,0.2,,2
Probability that a man lives till age of 90 is 0.3. The probability of his wife lives till age of 90 is 0.4. The probability that only his wife lives till age of 90 is,,Mathematics,Probability,Conditional Probability,2,Medium,0.21,,0.25,,0.28,,0.3,,3
Probability that Nepal win a cricket match is 0.25 and that Pakistan will win is 0.4. The probability that exactly one of them will win the match is,,Mathematics,Probability,Mutually Exclusive Events,2,Medium,1/20,,3/20,,7/20,,9/20,,4
"Four person's are chosen at random from a group of 3 men, 2 women and 4 children. The probability that two of them will be children is",,Mathematics,Probability,Combinatorics,2,Medium,8/21,,10/21,,4/7,,2/3,,2
Two events A and B have probabilities 2/5 and 1/4 respectively. The probability that both A and B occur is 1/10. The probability that neither A nor B happens is,,Mathematics,Probability,Events Probability,2,Medium,7/20,,9/20,,11/20,,13/20,,2
A bag contains 2 white and 3 red balls and next bag contains 1 white and 4 red balls. One ball is drawn at random from one of the bags and is found to be red. The probability that it was from the second bag is,,Mathematics,Probability,Bayes' Theorem,2,Medium,4/7,,5/7,,3/7,,6/7,,1
Among following the discrete random variable is,,Mathematics,Probability,Random Variable,1,Easy,Increase in length of life of cancer patients as a result of surgery,,Weight of individual student of class in kg,,Blood pressure (upper and) of a group persons,,Quantity of writing pad sold by a stationary store per day during a month,,4
"A discrete random variable X has following probability distribution: P(X=0)=0, P(X=1)=5K², P(X=2)=K²+6K, P(X=3)=4K², P(X=4)=3K. Then P(X=4) is",,Mathematics,Probability,Probability Distribution,2,Hard,3/5,,4/5,,3/10,,2/5,,3
The standard deviation of a binomial distribution in which there are 16 independent trials is 2. Then mean is,,Mathematics,Probability,Binomial Distribution,2,Medium,2,,4,,8,,16,,3
In a binomial distribution mean = 10 and variance = 8. Then number of trials is,,Mathematics,Probability,Binomial Distribution,2,Medium,10,,20,,25,,50,,4
