question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
Which of the following is a scalar quantity?,,Physics,Mix,Scalars & Vectors,1,Easy,Electric potential,,Force,,Torque,,Potential gradient,,1
"If velocity of body at maximum height is half of the initial velocity, then find the range of projectile fired, if initial velocity is u.",,Physics,Mix,Projectile Motion,1,Medium,u²/2g,,3u²/2g,,√3u²/2g,,4u²/g,,3
"A body is placed in an inclined plane. At certain angle, the body just starts to slide down the plane. The particular angle is...",,Physics,Mix,Laws of Friction,1,Medium,Angle of repose,,Angle of friction,,Normal angle,,Tangential angle,,2
"‘A’ and ‘B’ are two bodies and A is lighter than B. If they have equal momentum, then kinetic energy of A is...",,Physics,Mix,"Work, Power & Energy",1,Medium,Equal to B,,Greater than B,,Less than B,,Can't be predicted,,2
The area of cross section of steel wire (Y = 2×10¹⁰ N/m²) is 100 m². The force required to double its length is...,,Physics,Mix,Elasticity,1,Hard,2×10¹² N,,2×10¹¹ N,,2×10¹⁰ N,,2×10⁶ N,,2
Which of the following is invert gate?,,Physics,Mix,Logic Gates,1,Easy,NOT,,NOR,,OR,,NAND,,1
Which of the following is correct about X-rays?,,Physics,Mix,Modern Physics,1,Medium,X-ray is a longitudinal wave,,X-ray gets diffracted by crystal,,X-ray cannot be polarized,,X-ray cannot ionize the gas,,2
Bragg’s law has no solution if...,,Physics,Mix,Modern Physics,1,Medium,λ > 2d,,λ = 2d,,λ < 2d,,λ > d,,3
"If the rest mass of body is m₀ and it is moving with velocity equal to 0.8c, then the mass of body will be...",,Physics,Mix,Relativity,1,Hard,m₀,,2m₀,,(5/3)m₀,,(2/5)m₀,,3
"If the speed of rotation of earth increases, the weight of a body...",,Physics,Mix,Gravitation,1,Easy,Decrease,,May increase or decrease,,Remains unchanged,,Increases,,1
"The increasing order of unit of energy among joule, eV, calorie and erg is...",,Physics,Mix,Units & Dimensions,1,Medium,"eV, erg, Joule, Calorie",,"eV, erg, Calorie, Joule",,"erg, eV, Joule, Calorie",,"erg, eV, Calorie, Joule",,3
"A compound microscope consists of an objective lens of focal length 1 cm and an eye piece of focal length 5 cm with a separation of 10 cm. The distance between object and objective lens, at which the strain on the eye is minimum is 40 cm. The value of n is...",,Physics,Mix,Optics,1,Hard,30 cm,,40 cm,,50 cm,,60 cm,,2
Which of the following is equation for adiabatic process?,,Physics,Mix,Thermodynamics,1,Medium,dQ = nCᵥdT,,dU = nCᵥdT,,dQ = nCₚdT,,dU = nCₚdT,,2
"A coil of area 10 m² is placed perpendicular to a uniform magnetic field of 0.1 T, the magnetic flux linked with the coil is...",,Physics,Mix,Electromagnetism,1,Easy,0.1 Weber,,10 Weber,,1 Weber,,100 Weber,,3
"A step down transformer has primary voltage 200 V and 5 A current. If the ratio of turns is 1:3, then secondary voltage will be...",,Physics,Mix,Current Electricity,1,Medium,60 V,,600 V,,30 V,,300 V,,4
The elementary particle responsible for fundamental interaction is:,,Physics,Mix,Modern Physics,1,Easy,Fermion,,Boson,,Lepton,,Hadron,,2
Nuclear fission is initiated by ...,,Physics,Mix,Nuclear Physics,1,Easy,Neutron,,Photon,,Electron,,Proton,,1
If two temperature scales are dipped in a hot bath and reading in Fahrenheit scale is 3 times the Celsius scale. The temperature of hot bath is ...,,Physics,Mix,Heat & Thermodynamics,1,Medium,100°C,,80/3 °C,,50°C,,50/3 °C,,3
"If the coefficient of linear expansion of glass with mass 50 gm, the mass of liquid it holds at 80°C is:",,Physics,Mix,Thermal Expansion,1,Medium,46 gm,,48 gm,,51 gm,,54 gm,,3
"A steel tape gives correct measurement at 50°C. A piece of wood is being measured with the steel tape at 0°C, the reading is 50 cm on tape. The real length of piece of wood must be ...",,Physics,Mix,Errors & Measurements,1,Medium,50 cm,,>50 cm,,<50 cm,,Can't be predicted,,2
In which condition transistor works on saturation mode?,,Physics,Mix,Electronics,1,Medium,V_B greater than V_E and V_C,,V_E greater than V_B and V_C,,V_B less than V_E and V_C,,V_C greater than V_B and V_E,,1
The focal length of convex lens depends upon:,,Physics,Mix,Optics,1,Medium,λ of incident ray,,λ & f of incident ray,,f of incident ray,,Neither on λ nor on frequency of incident wavelength,,2
Two thin lens of focal length f₁ and f₂ are placed in contact co-axially. The combination is equivalent to a single lens of power:,,Physics,Mix,Optics,1,Medium,f₁f₂ / (f₁ + f₂),,f₁ - f₂,,f₁ + f₂,,f₁f₂ / (f₁ + f₂),,4
If the work function of a metal is 4 eV and the velocity of ejected electron is zero. Then find the wavelength of incoming incident photon.,,Physics,Mix,Modern Physics,1,Hard,2100 Å,,2300 Å,,3100 Å,,2700 Å,,1
The PN junction will be forward biased if ...,,Physics,Mix,Electronics,1,Medium,Both P and N junction are grounded.,,P-region is grounded and N-region is given +ve charge.,,P-region is given positive charge and N-region is grounded.,,Both are given positive charge.,,3
"If force constant of spring is 100 N/m, the PE of string is 0.5 J, then extension produced is:",,Physics,Mix,Oscillations,1,Medium,10 cm,,1 cm,,0.1 cm,,2 cm,,2
